iter	Passed	Remaining
0	45	192168
1	80	169677
2	118	165218
3	153	161194
4	183	153762
5	213	149501
6	245	146845
7	277	145491
8	308	143648
9	337	141416
10	367	139916
11	397	138688
12	425	137072
13	455	136099
14	485	135347
15	515	134848
16	544	133984
17	577	134111
18	605	133138
19	637	133185
20	666	132644
21	699	132825
22	733	133195
23	762	132635
24	794	132616
25	823	132193
26	855	132248
27	886	132086
28	914	131510
29	945	131373
30	975	131178
31	1006	131083
32	1036	130938
33	1067	130856
34	1097	130589
35	1127	130397
36	1163	130898
37	1196	131087
38	1238	132097
39	1275	132697
40	1313	133288
41	1347	133407
42	1404	135745
43	1442	136217
44	1474	136153
45	1503	135793
46	1532	135400
47	1563	135283
48	1594	135076
49	1620	134540
50	1648	134083
51	1643	131138
52	1677	131245
53	1706	131040
54	1734	130752
55	1798	133067
56	1796	130610
57	1828	130605
58	1855	130202
59	1888	130293
60	1922	130424
61	1957	130644
62	1988	130573
63	2024	130863
64	2061	131132
65	2090	130940
66	2119	130732
67	2147	130500
68	2179	130493
69	2210	130408
70	2268	131944
71	2273	130337
72	2305	130361
73	2343	130662
74	2385	131195
75	2417	131170
76	2445	130932
77	2475	130831
78	2503	130584
79	2532	130401
80	2561	130247
81	2590	130081
82	2620	129971
83	2651	129919
84	2719	131675
85	2747	131409
86	2747	129912
87	2777	129792
88	2810	129831
89	2840	129716
90	2869	129580
91	2902	129587
92	2932	129508
93	2961	129346
94	2993	129341
95	3022	129220
96	3053	129152
97	3085	129140
98	3117	129129
99	3147	129041
100	3180	129071
101	3211	129011
102	3241	128942
103	3275	128986
104	3306	128961
105	3335	128820
106	3365	128726
107	3396	128684
108	3426	128591
109	3455	128478
110	3484	128350
111	3514	128268
112	3545	128228
113	3575	128167
114	3604	128050
115	3634	127943
116	3663	127859
117	3692	127732
118	3721	127630
119	3750	127521
120	3780	127444
121	3814	127516
122	3848	127572
123	3881	127573
124	3913	127566
125	3944	127542
126	3976	127525
127	4005	127421
128	4032	127257
129	4068	127370
130	4098	127291
131	4129	127259
132	4161	127266
133	4190	127163
134	4220	127075
135	4248	126966
136	4279	126927
137	4313	126958
138	4345	126952
139	4374	126865
140	4405	126826
141	4431	126640
142	4462	126603
143	4492	126527
144	4524	126530
145	4554	126470
146	4586	126467
147	4613	126297
148	4640	126171
149	4666	126005
150	4696	125942
151	4724	125808
152	4754	125759
153	4780	125588
154	4811	125554
155	4839	125442
156	4863	125244
157	4895	125241
158	4927	125239
159	4956	125161
160	4988	125134
161	5016	125039
162	5051	125097
163	5077	124949
164	5105	124854
165	5135	124789
166	5163	124706
167	5194	124665
168	5220	124514
169	5250	124458
170	5281	124428
171	5308	124321
172	5337	124237
173	5368	124222
174	5397	124137
175	5426	124059
176	5452	123919
177	5479	123823
178	5508	123741
179	5538	123696
180	5572	123740
181	5602	123675
182	5634	123673
183	5665	123661
184	5696	123621
185	5726	123573
186	5751	123437
187	5783	123416
188	5810	123321
189	5839	123254
190	5875	123329
191	5906	123299
192	5931	123142
193	5960	123085
194	5987	122964
195	6018	122952
196	6050	122946
197	6078	122855
198	6108	122806
199	6140	122815
200	6171	122795
201	6196	122637
202	6228	122644
203	6258	122588
204	6285	122481
205	6316	122461
206	6345	122397
207	6374	122339
208	6403	122280
209	6433	122239
210	6464	122216
211	6493	122151
212	6525	122142
213	6555	122106
214	6586	122074
215	6613	121973
216	6644	121963
217	6671	121854
218	6700	121809
219	6729	121744
220	6759	121709
221	6784	121564
222	6812	121489
223	6841	121433
224	6871	121394
225	6901	121348
226	6930	121297
227	6968	121396
228	7001	121414
229	7032	121384
230	7063	121360
231	7092	121302
232	7117	121187
233	7150	121186
234	7178	121122
235	7212	121140
236	7256	121343
237	7294	121424
238	7331	121508
239	7363	121500
240	7391	121429
241	7426	121456
242	7459	121466
243	7491	121453
244	7520	121410
245	7552	121388
246	7582	121353
247	7622	121468
248	7654	121464
249	7680	121352
250	7711	121323
251	7744	121322
252	7777	121340
253	7806	121277
254	7838	121268
255	7871	121272
256	7901	121225
257	7930	121174
258	7962	121153
259	7997	121197
260	8026	121133
261	8050	121003
262	8081	120977
263	8114	120978
264	8144	120938
265	8172	120873
266	8207	120900
267	8236	120846
268	8265	120786
269	8294	120733
270	8337	120877
271	8374	120932
272	8410	120981
273	8441	120949
274	8471	120910
275	8498	120832
276	8533	120855
277	8566	120855
278	8598	120840
279	8631	120844
280	8657	120744
281	8688	120710
282	8715	120631
283	8758	120764
284	8785	120689
285	8817	120667
286	8849	120660
287	8878	120600
288	8909	120566
289	8939	120530
290	8971	120511
291	9017	120682
292	9047	120648
293	9075	120580
294	9088	120304
295	9135	120486
296	9166	120460
297	9196	120424
298	9228	120402
299	9255	120317
300	9287	120300
301	9317	120265
302	9347	120227
303	9379	120201
304	9408	120153
305	9439	120127
306	9465	120023
307	9494	119975
308	9525	119952
309	9553	119885
310	9583	119836
311	9615	119825
312	9641	119736
313	9672	119700
314	9702	119659
315	9732	119626
316	9766	119637
317	9798	119612
