iter	MAPE	RMSE	R2	MAE
0	2.185048762	2321384.194	0.0284707311	960112.4505
1	2.145037871	2289027.216	0.05536560324	940857.2871
2	2.096744139	2257814.12	0.08095196196	919049.592
3	2.058767362	2228202.295	0.1049009894	901244.4688
4	2.021998017	2199456.51	0.127847157	884276.9996
5	1.992979168	2173831.641	0.1480508886	869806.0614
6	1.957161456	2146720.29	0.1691688617	853761.7341
7	1.913832453	2119020.7	0.1904713174	834436.8777
8	1.873285761	2093333.703	0.209978748	816155.4839
9	1.8377891	2063159.142	0.2325902721	800961.8823
10	1.804173974	2040300.875	0.24950073	784948.3563
11	1.803113507	2033054.829	0.254821999	784473.3981
12	1.76842914	2010594.007	0.2711962306	769638.9968
13	1.767843492	2003278.668	0.2764899374	769215.0459
14	1.729709112	1980604.514	0.2927753789	753999.2555
15	1.690566453	1957598.589	0.3091096458	740219.4275
16	1.688745503	1950918.442	0.3138168156	739847.3722
17	1.687608608	1943895.592	0.3187481219	739441.8632
18	1.663815905	1924039.701	0.332594316	728022.7064
19	1.62362905	1900893.155	0.348555748	713154.0057
20	1.622581559	1893155.241	0.3538485863	712685.8008
21	1.596638394	1873768.512	0.3670145668	701877.4044
22	1.595744438	1866978.895	0.3715935127	701489.3804
23	1.591189934	1859281.516	0.3767645526	700908.9056
24	1.586858368	1851412.805	0.3820286104	700402.1657
25	1.554924226	1831382.034	0.3953281631	686843.1411
26	1.527489662	1809504.458	0.4096886175	675505.6495
27	1.527524934	1803398.62	0.4136656889	675219.2778
28	1.496605051	1785613.578	0.4251734725	664622.7486
29	1.496036586	1779383.622	0.4291775823	664362.2295
30	1.472220969	1762142.552	0.440185788	655113.1569
31	1.472022406	1756474.497	0.443781359	654959.9904
32	1.471644885	1750429.76	0.447603117	654684.5154
33	1.471824854	1744868.452	0.4511075922	654477.7397
34	1.444963321	1727451.938	0.4620105131	643041.7975
35	1.444076644	1721493.924	0.465715185	642710.0097
36	1.428841681	1705333.434	0.4756992775	635763.2948
37	1.408060144	1687327.931	0.4867123273	626809.713
38	1.407593159	1682063.658	0.489910131	626627.3387
39	1.379685666	1664331.972	0.5006078	615700.3192
40	1.356174167	1649888.97	0.5092376008	609627.0143
41	1.355650575	1642958.363	0.5133519835	609392.6799
42	1.3354266	1629537.109	0.5212703207	602679.5434
43	1.332437271	1624372.229	0.5243002157	602422.9204
44	1.331816775	1618344.532	0.5278241047	602164.8828
45	1.330841066	1613213.808	0.5308132876	601872.0734
46	1.330656092	1608374.469	0.5336240103	601722.61
47	1.310854285	1593267.428	0.5423439602	593670.6053
48	1.285952486	1576500.332	0.5519257608	584117.947
49	1.267825639	1560221.753	0.5611314091	576970.0165
50	1.26575355	1555470.376	0.563800331	576828.2704
51	1.245116078	1542265.711	0.5711748492	568137.9285
52	1.219645721	1528721.398	0.5786737362	559275.2254
53	1.219306407	1523774.404	0.5813961762	559138.6427
54	1.218936216	1518892.589	0.584074096	558997.513
55	1.218082781	1512958.618	0.5873176057	558551.8987
56	1.21606642	1508560.855	0.5897132316	558401.9598
57	1.202561253	1495638.232	0.5967123163	552457.143
58	1.202110912	1491394.406	0.598997701	552339.3115
59	1.183381254	1479786.957	0.6052153729	548293.4327
60	1.183059283	1474359.362	0.6081060612	548140.1696
61	1.183411847	1469787.281	0.6105328681	548010.9156
62	1.170753236	1458584.221	0.6164474584	543469.3668
63	1.170561465	1454503.906	0.6185903943	543388.2777
64	1.153992273	1442898.762	0.6246524684	536860.611
65	1.153644773	1437419.624	0.62749768	536710.0774
66	1.153541825	1433577.837	0.6294861909	536648.1649
67	1.132628558	1422584.203	0.6351470968	528583.0494
68	1.13050099	1414224.819	0.6394223929	527605.5499
69	1.110404978	1405997.404	0.6436055926	522407.0164
70	1.09195571	1394038.144	0.649642711	515131.161
71	1.076972242	1381171.74	0.6560801758	510002.3364
72	1.056712247	1369287.324	0.66197329	503719.0509
73	1.045813208	1358704.844	0.6671779509	500211.592
74	1.032864789	1348403.883	0.672205372	495570.1185
75	1.032574737	1344804.184	0.6739531969	495493.376
76	1.032086071	1340850.811	0.675867364	495374.6911
77	1.032173542	1337448.083	0.6775104043	495344.8444
78	1.021006322	1327383.864	0.6823455742	491366.2292
79	1.020652651	1324027.433	0.6839499891	491256.2421
80	1.021111617	1320604.773	0.685581879	491159.3112
81	1.007893917	1310332.258	0.6904543479	486327.995
82	0.9955225647	1300291.018	0.6951803444	481020.4064
83	0.9857470105	1291927.619	0.6990888999	477170.0908
84	0.985276893	1288654.52	0.7006116854	477075.0253
85	0.9851298452	1284113.642	0.7027178987	476979.0497
86	0.9849607363	1281051.956	0.7041338157	476926.0863
87	0.9849964847	1277937.837	0.7055705143	476882.4758
88	0.9693775827	1268444.047	0.7099288933	471464.1935
89	0.9693888085	1265402.67	0.7113182456	471407.5561
90	0.9534851441	1253615.987	0.716671093	465720.4527
91	0.9414410187	1246180.605	0.7200220573	462457.8403
92	0.9280344732	1237197.427	0.7240439886	460078.5805
93	0.9178468847	1229852.327	0.7273109008	457142.1316
94	0.9056621364	1220171.2	0.7315871008	453182.6212
95	0.8914241562	1212098.282	0.7351271076	448120.2595
96	0.8744894981	1203573.729	0.7388396502	443325.1798
97	0.8745509289	1200868.693	0.7400122485	443300.7328
98	0.861884598	1192162.272	0.7437684581	440839.7971
99	0.8615801652	1188193.225	0.745471753	440700.3547
100	0.8485298409	1179088.307	0.7493576189	436888.4882
101	0.8317618507	1172244.112	0.7522589562	430856.1286
102	0.8317550172	1169601.038	0.7533748666	430807.6897
103	0.8317219709	1166971.593	0.7544825238	430708.0177
104	0.8313104482	1163323.141	0.7560153089	430586.2394
105	0.816096471	1156024.493	0.7590672074	426556.1356
106	0.8064388074	1150455.813	0.7613828091	424970.8372
107	0.7958752176	1142564.051	0.7646452574	421507.3487
108	0.7863031256	1136069.458	0.7673132725	417703.6119
109	0.7863734376	1133638.857	0.768307866	417649.9352
110	0.7864872487	1131244.566	0.7692855185	417613.9918
111	0.7785636204	1124588.827	0.7719923747	414960.7528
112	0.7678346552	1119226.983	0.7741613931	413032.7807
113	0.7576580069	1111528.393	0.7772575643	410801.3293
114	0.7576322826	1108971.058	0.7782813288	410759.5866
115	0.7435884697	1101953.252	0.7810786161	405807.2846
116	0.7436930617	1099810.218	0.781929287	405788.2938
117	0.7344563188	1092690.262	0.7847436419	403999.8851
118	0.7345296681	1090512.416	0.7856008438	403969.0533
119	0.7271342392	1084551.923	0.7879381529	401036.8693
120	0.7174445061	1079612.271	0.7898654486	399313.6539
121	0.7173690957	1077599.109	0.7906483972	399287.8268
122	0.7131697965	1073058.667	0.7924088779	398379.5445
123	0.7020100438	1067922.198	0.7943914971	394435.0079
124	0.7019551183	1065368.899	0.7953735022	394352.4205
125	0.7015106369	1063341.547	0.7961515522	394284.7551
126	0.7013542599	1060237.39	0.797339983	394193.3187
127	0.6900039143	1055416.556	0.7991787583	390282.0796
128	0.6804013351	1049918.551	0.8012655938	388019.3287
129	0.6724374978	1043468.765	0.8036997964	386373.8944
130	0.6646764061	1037197.567	0.8060522161	384949.6645
131	0.6647200196	1035522.599	0.8066781222	384908.7798
132	0.6648073049	1033663.497	0.8073716511	384866.4891
133	0.664899638	1031847.811	0.808047781	384842.0004
134	0.6533712104	1026721.431	0.8099503399	381006.8591
135	0.6531893689	1023777.797	0.8110385314	380912.6301
136	0.6528998621	1022115.152	0.8116517907	380897.2454
137	0.6441678655	1016497.002	0.8137166469	378615.7163
138	0.6438998537	1013778.461	0.8147117147	378520.0282
139	0.6439365229	1012067.234	0.8153367085	378483.8114
140	0.6439346056	1010116.693	0.8160478198	378455.7392
141	0.6334201084	1004379.915	0.818131334	375126.2324
142	0.6246225109	998432.2882	0.8202788963	372484.9016
143	0.6151395188	993121.3084	0.8221857988	369332.536
144	0.6151458667	991505.0651	0.822764091	369294.8789
145	0.6088399881	983973.244	0.8254465562	367260.1066
146	0.6038761467	980622.6259	0.8266333083	366608.4257
147	0.6009936411	975953.8371	0.8282801919	365750.4419
148	0.596099716	970176.7683	0.8303071341	363838.1183
149	0.5962095693	968782.261	0.8307946079	363821.8648
150	0.5880628615	964686.2232	0.8322223931	361168.9001
151	0.5823463391	959613.8417	0.8339821252	360160.8712
152	0.5765970034	954820.651	0.8356364739	359122.1133
153	0.5684827959	950018.5636	0.8372855862	356405.9148
154	0.5682448699	948585.2633	0.8377761928	356341.476
155	0.5678198021	946985.9591	0.8383227467	356245.3008
156	0.5598829535	942805.8928	0.8397469074	353922.8327
157	0.5552331034	939159.3085	0.8409841638	353218.8931
158	0.5552343471	937304.533	0.8416116344	353167.8549
159	0.5506120546	933345.8367	0.8429467124	351195.0969
160	0.5506654149	932002.6764	0.843398412	351163.1146
161	0.5501332923	930590.6742	0.8438725614	351043.928
162	0.5493180503	928169.2801	0.8446839906	350854.0661
163	0.542800364	925504.3193	0.8455745973	349660.7413
164	0.5428187152	923759.1638	0.8461564255	349592.2792
165	0.5427815282	922271.7055	0.8466514715	349537.3472
166	0.5357749132	917524.2738	0.848226144	346697.4076
167	0.5358386025	915723.889	0.8488211871	346617.9205
168	0.533263756	913785.4986	0.8494605357	346210.8072
169	0.5328214919	912039.7574	0.8500351824	346110.3438
170	0.5324486598	909691.3641	0.8508064711	345925.3135
171	0.5274246191	904582.0526	0.8524776655	344381.8494
172	0.5274868484	903512.1421	0.8528264284	344372.3115
173	0.5199509823	898774.3919	0.854365851	341944.3925
174	0.5180609627	896762.6048	0.8550170867	341586.6548
175	0.5161691861	894988.0653	0.8555903116	341269.9969
176	0.5103580481	891890.5299	0.8565881798	340158.7268
177	0.5050058395	889512.5864	0.8573518847	339179.0966
178	0.5044857046	887975.8121	0.8578443535	339073.8435
179	0.5030576689	886324.5735	0.858372554	338813.3053
180	0.4984325862	883404.5237	0.8593042171	337524.085
181	0.493366877	880728.0125	0.8601554769	336296.4201
182	0.4903101933	875266.7456	0.8618844111	335507.7493
183	0.4902037902	874130.041	0.8622429182	335419.4602
184	0.4897405991	872041.6394	0.8629003683	335216.4816
185	0.4833298859	868309.8923	0.8640712446	333282.0358
186	0.4800324563	865221.0154	0.8650366152	332393.5926
187	0.4770776941	861447.9253	0.8662111559	331262.0151
188	0.4737391696	858681.6988	0.8670690047	330637.3887
189	0.4726880385	857189.6159	0.8675305768	330460.4466
190	0.4712542811	855694.0486	0.8679924212	330247.0295
191	0.4707535385	854788.4511	0.8682716857	330169.843
192	0.4683352271	852377.8694	0.8690136098	329855.9531
193	0.4639895018	850414.4251	0.8696163666	329020.5688
194	0.461460325	846915.5432	0.870687041	328306.7439
195	0.4613864574	845680.8793	0.8710638003	328248.3311
196	0.4597432518	843378.0473	0.8717650439	327827.5553
197	0.4594452329	842375.7168	0.8720696699	327751.917
198	0.4525846797	840386.5836	0.8726731299	325911.366
199	0.4522618046	839117.3316	0.8730574479	325813.7459
200	0.4521903925	837937.4499	0.8734141844	325748.7169
201	0.4495304964	835359.626	0.8741918415	325193.0437
202	0.4474065373	833814.0375	0.8746569531	324815.3589
203	0.4473297523	833331.923	0.8748018589	324797.3684
204	0.4470800007	832311.8062	0.875108192	324723.7099
205	0.4468364667	831402.5378	0.8753809218	324658.3921
206	0.4434106989	830027.3533	0.8757928342	323949.6991
207	0.4412255129	827671.5513	0.8764968887	323654.2547
208	0.441122293	826884.9428	0.8767315287	323601.5501
209	0.4355874914	824722.0156	0.8773755652	322022.5827
210	0.4354925641	824275.6315	0.8775082712	322004.892
211	0.4327436286	821783.7278	0.8782477719	321303.8877
212	0.430846833	816926.1587	0.8796828743	320608.8649
213	0.4308056868	816506.2107	0.8798065426	320598.1678
214	0.4284738145	812754.9474	0.880908412	319936.8582
215	0.4277234015	811535.8904	0.8812653967	319842.7102
216	0.4277059468	811130.9444	0.8813838612	319828.8059
217	0.4273545499	810049.0989	0.8817000587	319749.8795
218	0.423861896	808123.3945	0.8822618516	319145.073
219	0.4237883364	807711.2544	0.8823819131	319125.4823
220	0.4222004372	805680.1075	0.8829727164	318922.9462
221	0.4200919702	802399.8158	0.8839237195	318145.3586
222	0.4193092098	801325.8403	0.8842342371	317967.1083
223	0.4187977892	799844.4731	0.8846618612	317782.0088
224	0.4151590905	796473.6913	0.885631951	316863.989
225	0.4138423754	794902.1162	0.8860828401	316708.883
226	0.4129885212	793880.0102	0.8863756071	316623.002
227	0.4129478503	793510.4971	0.8864813559	316612.5398
228	0.4095761153	790922.8991	0.887220506	315269.1807
229	0.4095015862	790565.4218	0.8873224299	315255.7338
230	0.4092736773	789536.2775	0.8876156024	315187.8145
231	0.4091901525	788939.2361	0.8877855066	315174.2324
232	0.409143474	788092.3235	0.8880262979	315140.3516
233	0.4072419324	785046.2172	0.8888902186	314437.4331
234	0.4034572154	783175.7684	0.8894190475	313069.4339
235	0.4032028298	782201.7451	0.889693932	313000.1592
236	0.4006546867	780860.8348	0.8900717981	312533.8595
237	0.4002224287	780187.9435	0.8902611734	312442.4809
238	0.398719445	778312.6396	0.8907880883	312151.8669
239	0.3982172843	777467.5102	0.8910251346	312133.9351
240	0.3968946477	773473.7138	0.8921418516	311575.6778
241	0.3954517605	771385.8433	0.8927233578	311087.0829
242	0.393546084	769439.3644	0.8932640685	310521.3473
243	0.3934209643	768832.5643	0.8934323516	310470.1667
244	0.3933445573	768083.3216	0.893639955	310446.8741
245	0.3909862519	764890.3822	0.8945223991	309787.91
246	0.3893005592	762293.0961	0.8952375092	308872.8297
247	0.3885538105	759676.7006	0.8959554213	308591.8529
248	0.3855146071	757800.5197	0.8964687064	307787.6321
249	0.3854363814	757514.298	0.8965468993	307773.6771
250	0.3852166526	757216.9282	0.8966281065	307739.5987
251	0.3851577932	756607.9018	0.8967943228	307713.0333
252	0.3839066874	754536.2482	0.89735872	307196.0498
253	0.3838057514	753984.0761	0.8975088915	307158.369
254	0.3809820496	752008.231	0.8980453517	306091.977
255	0.3779206624	750324.326	0.8985014364	304714.2289
256	0.3776989097	749326.9255	0.8987710996	304639.703
257	0.3771104674	748304.5653	0.8990471388	304575.6786
258	0.3761219046	746539.5845	0.8995228	304169.0908
259	0.3760248727	746050.0681	0.8996545254	304140.8025
260	0.3760060739	745387.9795	0.8998325513	304106.1305
261	0.3758010313	744874.0619	0.8999706272	304051.5143
262	0.3755672343	744184.6674	0.9001556995	304030.454
263	0.3737560163	742667.2797	0.9005624482	303319.0865
264	0.3736822956	742187.6435	0.900690846	303284.3596
265	0.373669043	740952.759	0.901021041	303232.9737
266	0.3728287285	738343.1847	0.9017170047	302859.4119
267	0.3728757364	738102.0255	0.901781197	302852.4472
268	0.3721592703	735079.1143	0.9025840636	302378.9482
269	0.3713794346	732013.4203	0.9033949279	301856.6268
270	0.3703781963	729709.0864	0.9040021844	301555.9592
271	0.3701374517	729099.1684	0.9041625944	301556.0315
272	0.3699721534	728624.7117	0.904287285	301520.6884
273	0.3673606247	727131.6567	0.9046791409	300440.7002
274	0.3672536995	726893.62	0.9047415399	300421.5051
275	0.3672430827	726443.7584	0.9048594109	300396.9362
276	0.367130955	726002.6121	0.9049749276	300345.3442
277	0.3661417589	723948.9147	0.9055117761	299920.8226
278	0.3654439257	722326.0283	0.9059349325	299589.5134
279	0.3648064992	720967.5895	0.9062884057	299309.9353
280	0.3638278219	719228.8161	0.9067398733	298753.997
281	0.3614789314	717790.3664	0.9071125387	298101.6735
282	0.361130949	716708.3921	0.9073923588	298017.9193
283	0.3604609231	713738.2629	0.9081583237	297633.3099
284	0.3604090066	713419.0822	0.9082404478	297621.7053
285	0.3604412543	712988.6563	0.9083511366	297594.6015
286	0.3604751714	712568.0682	0.9084592311	297575.5337
287	0.3604983922	712379.7983	0.9085075972	297563.3101
288	0.3590536979	710383.6613	0.9090196148	296973.9097
289	0.3590310638	709962.8002	0.9091273841	296947.6195
290	0.3574683849	708084.9105	0.9096074742	296390.9687
291	0.3568646005	705322.7642	0.9103113175	296032.6381
292	0.3561442815	703130.5663	0.9108679698	295509.3144
293	0.356112758	702938.802	0.910916581	295497.5714
294	0.3555187292	700616.0123	0.9115043425	295028.171
295	0.3554506118	700238.8057	0.9115996077	294993.1011
296	0.355425908	699606.7071	0.911759132	294988.2083
297	0.3533153019	698028.1255	0.9121568933	294229.0632
298	0.35138799	696385.9419	0.9125697272	293430
299	0.3493810954	695137.9878	0.9128828042	292808.4415
300	0.3480539403	693091.0775	0.9133951012	292173.7613
301	0.3466583675	691861.3633	0.9137021454	291454.5651
302	0.346589418	691458.0089	0.9138027391	291422.1775
303	0.3461478033	689177.0836	0.9143704822	291124.6397
304	0.3451264749	687872.9469	0.9146942507	290706.5942
305	0.3437914065	685933.602	0.9151745838	289843.4151
306	0.3428759303	684290.3103	0.9155805296	289223.0213
307	0.341850952	682736.8449	0.9159633901	288547.9386
308	0.3407067223	681573.7972	0.9162494603	288100.8637
309	0.3407096154	681207.7177	0.9163394025	288089.3501
310	0.3407473033	681051.0212	0.9163778865	288079.2432
311	0.3397490858	679482.6011	0.9167625966	287783.4862
312	0.338814686	678314.5871	0.9170485168	287428.1702
313	0.338678992	678003.5583	0.9171245711	287393.4908
314	0.3374630396	676908.4843	0.9173920666	286873.9989
315	0.3371741919	675624.7253	0.9177051018	286716.0029
316	0.3371843367	675297.6378	0.9177847647	286707.8047
317	0.3370752796	673517.1309	0.9182177348	286483.1055
318	0.3358206977	672393.0014	0.9184905033	286004.5428
319	0.3358315703	672062.6143	0.9185705846	285990.3201
320	0.3357095691	670236.2496	0.9190125605	285719.148
321	0.3356446046	670096.4179	0.9190463499	285709.554
322	0.3348015319	669073.0328	0.9192934292	285446.729
323	0.3341320022	667552.5424	0.9196598291	285023.7478
324	0.3337960128	666213.8012	0.9199817419	284805.01
325	0.3330952087	664893.8341	0.9202985075	284372.7387
326	0.3327560815	662721.6249	0.9208184267	284161.5294
327	0.3322605796	662108.3819	0.9209648987	283896.6314
328	0.3321263852	660676.7296	0.9213063185	283723.566
329	0.3320346277	658789.0242	0.9217553679	283397.148
330	0.3308812292	657605.8723	0.9220361624	282975.0467
331	0.3306537	656018.7454	0.9224120386	282598.6519
332	0.3297872311	654750.5447	0.9227117312	282307.4108
333	0.3294782049	652757.2696	0.9231815965	282123.2421
334	0.3287893034	651699.1473	0.9234304406	281916.1884
335	0.3287317322	649879.0405	0.92385754	281602.2031
336	0.3284751995	649185.3662	0.9240200006	281462.2892
337	0.3281500231	647236.4154	0.9244755223	281034.828
338	0.3276418412	645889.4177	0.9247895511	280539.7128
339	0.3275285143	644942.8844	0.9250098273	280396.6649
340	0.3272781691	643839.9587	0.9252660914	280245.7807
341	0.3271035247	641906.5896	0.9257142503	279893.7121
342	0.326042166	640903.4378	0.9259462518	279562.4096
343	0.3259192545	640649.2186	0.9260049881	279547.448
344	0.3252243747	639711.8231	0.9262213681	279206.1576
345	0.3251925879	639572.662	0.9262534638	279192.1621
346	0.3249292241	639106.8057	0.9263608567	279075.3047
347	0.3248372033	637459.6343	0.9267399482	278846.7432
348	0.3248138416	637344.4215	0.9267664275	278837.0797
349	0.3243921306	635911.7699	0.9270952929	278374.7279
350	0.3242273179	635590.6967	0.9271688938	278213.3353
351	0.3238771362	633699.7579	0.9276016072	277871.7546
352	0.3231277432	632256.1414	0.9279310896	277165.9674
353	0.3230595973	631491.8797	0.928105216	277124.2188
354	0.3220367873	630382.2611	0.9283576522	276618.7141
355	0.3220246228	630053.7465	0.9284323034	276591.9355
356	0.3214790844	628942.9758	0.9286844255	276324.6734
357	0.3216337541	627748.1213	0.9289551362	276183.0676
358	0.3213774497	626007.9406	0.9293484772	276007.8254
359	0.3215374855	624853.8943	0.9296087294	275874.9162
360	0.3213392133	623070.5231	0.930009958	275503.9512
361	0.3212605863	622084.4294	0.9302313202	275339.7565
362	0.3208441705	621058.4364	0.930461267	275196.1186
363	0.3203413911	620094.5488	0.9306769488	274916.5882
364	0.3196335452	618957.0321	0.9309310513	274426.059
