iter	Passed	Remaining
0	9	48093
1	34	86032
2	41	68696
3	89	112357
4	95	95703
5	107	89494
6	115	82132
7	124	77726
8	147	82025
9	157	78570
10	175	79451
11	192	79933
12	203	78097
13	214	76544
14	221	73470
15	228	71170
16	238	69817
17	244	67717
18	252	66200
19	262	65310
20	269	63816
21	281	63742
22	287	62296
23	294	60968
24	299	59643
25	312	59724
26	319	58836
27	325	57850
28	331	56855
29	338	56063
30	345	55438
31	352	54687
32	357	53871
33	368	53757
34	374	53095
35	385	53094
36	392	52686
37	399	52153
38	406	51659
39	411	51067
40	419	50696
41	439	51832
42	446	51522
43	453	51041
44	461	50825
45	467	50393
46	474	50022
47	480	49553
48	506	51130
49	518	51350
50	527	51219
51	534	50851
52	546	51024
53	551	50556
54	560	50367
55	565	49891
56	570	49514
57	577	49237
58	584	48942
59	591	48695
60	602	48760
61	607	48406
62	613	48057
63	619	47800
64	625	47487
65	630	47114
66	636	46860
67	641	46497
68	645	46141
69	651	45883
70	663	46069
71	669	45830
72	674	45557
73	679	45261
74	684	44979
75	690	44725
76	695	44440
77	699	44159
78	704	43888
79	709	43628
80	714	43379
81	719	43123
82	724	42945
83	729	42698
84	737	42621
85	741	42364
86	746	42174
87	754	42111
88	759	41889
89	764	41713
90	770	41585
91	776	41427
92	782	41277
93	789	41216
94	794	41032
95	801	40919
96	806	40780
97	816	40863
98	821	40672
99	826	40518
100	833	40413
101	838	40256
102	847	40275
103	853	40167
104	863	40235
105	867	40074
106	873	39935
107	881	39935
108	887	39816
109	894	39780
110	900	39660
111	907	39608
112	913	39497
113	919	39402
114	926	39367
115	932	39257
116	938	39187
117	944	39075
118	949	38965
119	954	38835
120	962	38814
121	967	38680
122	974	38631
123	979	38499
124	985	38422
125	989	38294
126	995	38190
127	1000	38080
128	1007	38036
129	1013	37972
130	1019	37875
131	1023	37754
132	1029	37667
133	1036	37634
134	1043	37618
135	1051	37594
136	1056	37519
137	1061	37404
138	1070	37437
139	1075	37341
140	1080	37224
141	1086	37165
142	1091	37078
143	1100	37126
144	1105	37024
145	1110	36927
146	1119	36954
147	1123	36844
148	1131	36837
149	1137	36764
150	1145	36773
151	1151	36727
152	1156	36653
153	1168	36765
154	1172	36664
155	1182	36723
156	1187	36638
157	1195	36645
158	1200	36561
159	1206	36495
160	1212	36453
161	1217	36351
162	1222	36280
163	1230	36284
164	1235	36208
165	1241	36167
166	1247	36101
167	1251	36007
168	1256	35911
169	1262	35857
170	1267	35803
171	1273	35738
172	1277	35652
173	1288	35748
174	1294	35678
175	1299	35606
176	1305	35577
177	1310	35510
178	1318	35512
179	1324	35466
180	1329	35388
181	1335	35353
182	1341	35308
183	1346	35250
184	1351	35177
185	1356	35118
186	1363	35083
187	1367	35014
188	1377	35052
189	1382	34993
190	1386	34921
191	1393	34903
192	1398	34828
193	1406	34840
194	1411	34789
195	1418	34767
196	1423	34700
197	1428	34638
198	1434	34616
199	1439	34545
200	1444	34481
201	1449	34422
202	1454	34370
203	1459	34304
204	1463	34239
205	1469	34196
206	1474	34140
207	1479	34084
208	1484	34036
209	1489	33970
210	1494	33916
211	1499	33861
212	1505	33836
213	1510	33780
214	1515	33731
215	1522	33715
216	1527	33675
217	1532	33615
218	1538	33580
219	1544	33564
220	1550	33530
221	1555	33482
222	1561	33453
223	1568	33445
224	1575	33426
225	1584	33477
226	1601	33679
227	1609	33682
228	1615	33653
229	1622	33642
230	1628	33626
231	1634	33597
232	1643	33617
233	1649	33595
234	1660	33665
235	1665	33616
236	1670	33570
237	1676	33550
238	1682	33516
239	1690	33536
240	1698	33532
241	1706	33550
242	1711	33499
243	1730	33728
244	1736	33701
245	1742	33669
246	1748	33638
247	1754	33620
248	1759	33580
249	1766	33571
250	1773	33547
251	1778	33509
252	1784	33478
253	1788	33426
254	1794	33390
255	1798	33337
256	1804	33298
257	1809	33249
258	1814	33213
259	1819	33169
260	1825	33152
261	1831	33118
262	1836	33079
263	1840	33025
264	1845	32977
265	1850	32926
266	1855	32889
267	1860	32858
268	1866	32831
269	1870	32776
270	1875	32725
271	1879	32668
272	1884	32628
273	1889	32590
274	1893	32539
275	1898	32499
276	1903	32449
277	1916	32554
278	1922	32534
279	1928	32503
280	1934	32490
281	1939	32455
282	1943	32402
283	1949	32364
284	1953	32318
285	1958	32272
286	1962	32226
287	1966	32181
288	1971	32136
289	1975	32090
290	1979	32040
291	1985	32015
292	1989	31963
293	1996	31950
294	2000	31911
295	2005	31863
296	2009	31826
297	2014	31784
298	2018	31740
299	2022	31691
300	2027	31657
301	2032	31614
302	2038	31593
303	2042	31553
304	2047	31512
305	2051	31467
306	2056	31432
307	2062	31416
308	2067	31392
309	2073	31369
310	2081	31390
311	2086	31347
312	2090	31304
313	2095	31265
314	2102	31270
315	2107	31241
316	2112	31201
317	2116	31159
318	2120	31117
319	2125	31090
320	2129	31046
321	2134	31006
322	2139	30973
323	2142	30927
324	2147	30887
325	2152	30862
326	2158	30841
327	2162	30806
328	2166	30760
329	2171	30723
330	2175	30684
331	2180	30656
332	2185	30628
333	2189	30584
334	2193	30539
335	2196	30494
336	2200	30453
337	2204	30407
338	2208	30363
339	2212	30320
340	2216	30279
341	2219	30235
342	2223	30195
343	2228	30159
344	2232	30120
345	2236	30076
346	2239	30035
347	2243	29992
348	2247	29947
349	2251	29907
350	2254	29864
351	2258	29821
352	2261	29777
353	2265	29731
354	2268	29684
355	2272	29641
356	2275	29599
357	2279	29561
358	2283	29518
359	2287	29480
360	2290	29439
361	2294	29398
362	2298	29357
363	2302	29321
364	2306	29283
365	2310	29248
366	2314	29220
367	2319	29191
368	2323	29154
369	2326	29114
370	2330	29079
371	2334	29045
372	2338	29008
373	2342	28969
374	2345	28933
375	2349	28899
376	2354	28866
377	2358	28835
378	2362	28803
379	2366	28765
380	2369	28725
381	2373	28691
382	2377	28656
383	2380	28618
384	2384	28585
385	2388	28546
386	2392	28517
387	2395	28478
388	2399	28444
389	2403	28407
390	2406	28369
391	2410	28331
392	2413	28295
393	2417	28259
394	2421	28229
395	2424	28193
396	2429	28165
397	2432	28131
398	2436	28099
399	2440	28064
400	2443	28027
401	2447	27995
402	2452	27969
403	2455	27939
404	2459	27904
405	2463	27873
406	2467	27844
407	2471	27814
408	2474	27779
409	2481	27775
410	2484	27742
411	2488	27709
412	2491	27676
413	2495	27643
414	2499	27609
415	2502	27580
